monto,año,iso3
280.8633459,2006,BOL
591.6,2006,GTM
6817.544536,2006,HUN
0.568434302,2006,KIR
749.0879505,2006,NCL
1597.0,2006,OMN
-6.870086661,2006,PNG
5803.086279,2006,SVK
311.4501111,2006,ZAF
8.4779999,2006,TLS
644.2619999,2006,UGA
5604.0,2006,UKR
147372.4303,2006,GBR
10235.0,2005,COL
493.4139999,2005,ECU
23291.29981,2005,ITA
682.484,2005,JAM
706.3622345,2005,LVA
3321.491495,2005,LBN
39047.15714,2005,NLD
33.52729735,2005,PNG
6152.300812,2005,ROU
12097.333,2005,SAU
7808.0,2005,UKR
4124.705,2004,ARG
3397.118077,2004,BGR
139.27,2004,GHA
7815.417818,2004,JPN
1.95366788,2004,KIR
23.75296912,2004,KWT
844.4245777,2004,LTU
1019.1,2004,PAN
37.48300838,2004,TON
295.416,2004,UGA
61219.74441,2004,GBR
3576.97178,2003,AGO
-10.925,2003,BLZ
44.73158981,2003,BEN
712.6634549,2003,TCD
-596.9199999,2003,IDN
148.7488681,2003,NAM
2196.303979,2003,ROU
8.615054047,2003,SLE
-63.88842989,2003,SWZ
50.0,2002,AFG
984.9748247,2002,HRV
8046.021364,2002,FIN
2993.565399,2002,HUN
209.8724766,2002,LVA
243.8047714,2002,MLI
347.2528305,2002,MOZ
2.404632504,2002,NER
18.27881352,2002,PNG
2155.837,2002,PER
453.0,2002,SAU
1569.674839,2002,SVN
91.5049109,2001,BRB
61.16299995,2001,BLZ
41.7999999,2001,BMU
6.267060825,2001,BFA
26401.9964,2001,DEU
3936.045586,2001,HUN
613.8999999,2001,JAM
6241.595833,2001,JPN
445.8125,2001,LTU
553.9473684,2001,MYS
69.7,2001,PRY
358.5319147,2001,SVN
28408.1288,2001,ESP
28.17922263,2001,SWZ
1183.84,2001,ARE
155.1409999,2001,YEM
878.601,2000,AGO
8501.013451,2000,AUT
158.8009999,2000,CMR
4860.0,2000,CHL
33823.48939,2000,DNK
-23.4393679,2000,ECU
43.52,2000,GMB
9.9399999,2000,GIN
13.25,2000,HTI
2764.061819,2000,HUN
25779.43615,2000,IRL
110.9046111,2000,KEN
993.475,2000,LBN
276.7661222,2000,MUS
53.6989999,2000,MNG
1056.753271,2000,ROU
39.00091773,2000,SLE
887.3416208,2000,ZAF
9.212396872,2000,TON
6.39951,2000,YEM
6.04,1999,AFG
2471.401,1999,AGO
60.5,1999,BMU
1010.488,1999,BOL
28578.43,1999,BRA
24744.06521,1999,CAN
8761.016218,1999,CHL
16756.87763,1999,DNK
56075.69354,1999,DEU
154.5999999,1999,GTM
30.0,1999,HTI
4187.194,1999,ISR
6911.159598,1999,ITA
-128.0689999,1999,LBY
1156.734251,1999,PRT
123.0,1999,SAU
18743.38475,1999,ESP
100.3849755,1999,SWZ
232.375,1998,ARM
576.46,1998,BGD
29.1604822,1998,BRB
8.760716195,1998,CPV
611.7,1998,CRI
24593.23623,1998,DEU
11.41357735,1998,KEN
59.06364436,1998,KWT
925.5,1998,LTU
6398.400184,1998,POL
0.104884819,1998,SLE
152.7238128,1998,SWZ
8940.757754,1998,CHE
65062.00482,1998,GBR
18.20349905,1997,BRB
11525.1838,1997,CAN
5562.216362,1997,COL
81.7999999,1997,GHA
43.012,1997,IRN
1990.376,1997,ISR
55.27774216,1997,MUS
1917.456791,1997,NZL
28.5752999,1997,PNG
176.8125427,1997,SEN
1.800033011,1997,SLE
217.0,1997,ZMB
231.61,1996,BGD
429.3,1996,BOL
10791.687,1996,BRA
39.4661735,1996,TCD
4814.616,1996,CHL
499.6532999,1996,ECU
120.0,1996,GHA
23.77,1996,GIN
2617.483,1996,IRL
1616.775,1996,ISR
10.5471417,1996,KEN
-111.7219999,1996,LBY
36.66126219,1996,MUS
72.5,1996,MOZ
439.305,1996,PAK
263.0,1996,ROU
11432.37071,1996,SGP
722.0,1996,TUR
300.5199999,1996,ARE
2183.0,1996,VEN
70.0499999,1995,ALB
11.80375015,1995,BRB
374.3,1995,BOL
4405.122,1995,BRA
2956.1,1995,CHL
452.4601999,1995,ECU
75.2999999,1995,GTM
0.77,1995,GIN
7.4,1995,HTI
41.46307235,1995,JPN
0.387685967,1995,KIR
111.3898082,1995,MLI
9.8,1995,MNG
45.0,1995,MOZ
152.9876567,1995,NAM
2409.410338,1995,NOR
492.095,1995,PAK
1459.0,1995,PHL
674.9228273,1995,PRT
23589.64,1995,GBR
-217.6999999,1995,YEM
12.94999995,1994,BRB
18.814,1994,BLZ
13.6490125,1994,BEN
1446.497261,1994,COL
0.033684778,1994,KWT
97.97792044,1994,NAM
1591.0,1994,PHL
1250.510601,1994,PRT
0.001,1994,RWA
63.2747351,1994,SWZ
3366.991058,1994,CHE
159.0,1994,UKR
4731.586,1993,CAN
1034.2,1993,CHL
473.725,1993,ECU
54.74227673,1993,FJI
11.19,1993,GMB
368.2348244,1993,DEU
142.488,1993,GTM
207.55,1993,IRN
471.85,1993,ISR
139.1999999,1993,JAM
2.0,1993,KEN
5741.0,1993,MYS
4.1672111,1993,MLI
1715.0,1993,POL
1440.670702,1993,PRT
94.0,1993,ROU
